Stock_name;Count;Manufacturer;Catalog no.;Price;Total Price
FILTER TIPS 10µL STERILE MULTIGUARD;13;DUTSCHER;015020;41.2;535.6
96-WELL PCR PLATES CLEARLINE;12;DUTSCHER;257296;196.38;2356.56
GREEN DUOSHIELD GLOVE (S);10;DUTSCHER;065745B;19.79;197.89999999999998
FILTER TIPS 10µL STERILE MULTI SORENSON;9;DUTSCHER;038000T;191.7;1725.3
STERILE PIPET 10 ML FALCON ;8;DUTSCHER;357551;25.5;204.0
96-WELLS CULTURE PLATE BIOMAT;8;BIOMAT;MC42F-LYS-L/S with lid;33.333;266.664
STERITOP-GP 0,2µm 150 ML;7;DUTSCHER;051266B;62.15;435.05
FILTER TIPS 330µL STERILE ONE TOUCH ;7;DUTSCHER;010350;65.93;461.51000000000005
TIPS 300µL INTEGRA (INSERT);7;INTEGRA;6432;24.75;173.25
STERILE PIPET 25 ML FALCON ;7;DUTSCHER;357525;57.91;405.37
GREEN ECOSHIELD GLOVE (M);7;DUTSCHER;065746B;22.84;159.88
ANIOSPRAY 5L ;6;DUTSCHER;059845;250.86;1505.16
STERILE PIPET 5 ML FALCON ;5;DUTSCHER;357543;24.94;124.7
STERILE TUBE FOR CULTURE 4 ML;5;DUTSCHER;352063;96.29;481.45000000000005
STERILE PIPET 50 ML GREINER;5;DUTSCHER;768180;53.88;269.40000000000003
BLUE DUOSHIELD GLOVE (L);5;DUTSCHER;065909B;25.0;125.0
GREEN ECOSHIELD GLOVE (L);5;DUTSCHER;065747B;20.2;101.0
96-WELLS CULTURE PLATE BIOMAT LYS3468;5;BIOMAT;MC42F-LYS-L/S with lid;33.333;166.665
LUNA CELL COUNTING SLIDES;5;LOGOS;L12001;0.0;0.0
CAGE LID RAT ;5;INNOVIVE;RS1;419.0;2095.0
FILM ADHESIVE FOR 96-Well PCR PLATES ;5;BIO-RAD;MSB1001;236.0;1180.0
CAGE BOTTOM RAT ;5;INNOVIVE;R.BTM.H;808.0;4040.0
DEEPWELL PLATE STERILE 2.2 ML;4;DUTSCHER;034190;238.02;952.08
FILTER TIPS 100-5000µL STERILE EPPENDORF ;4;DUTSCHER;033907B (short form) or  933237B (long form);96.0;384.0
FILTER TIPS 50-1250µL STERILE CLEARLINE;4;DUTSCHER;713119;83.34;333.36
AUTOCLAVE TAPE ;4;DUTSCHER;150260;6.02;24.08
PCR MICROTUBE 0.2 ML;4;DUTSCHER;385002;56.86;227.44
XPLORER BATTERY ;4;DUTSCHER;933067;18.9;75.6
CHARLOTTE ROUND WHITE;3;DUTSCHER;030615;5.82;17.46
FILTER 33mm, 0.2µm MILLEX GP ;3;DUTSCHER;051205;66.57;199.70999999999998
50 ML STERILE RESERVOIR;3;DUTSCHER;097802;55.03;165.09
MICROTUBE 2 ML RNASE FREE CLEARLINE;3;DUTSCHER;390691;19.68;59.04
HYDROPHOBIC FILTER 0.8µm, PIPETBOY;3;DUTSCHER;075011;39.0;117.0
STERILE CULTURE ADHESIVE;3;DUTSCHER;064031;127.83;383.49
24-WELLS CULTURE PLATE FALCON;3;DUTSCHER;353047;82.15;246.45000000000002
DEEPWELL PLATE STERILE 1.2 ML;3;DUTSCHER;034053;100.68;302.04
ADHESIVE FILM ;3;DUTSCHER;020100;22.15;66.44999999999999
DEEPWELL PLATE STERILE 1 ML GREINER;2;DUTSCHER;780261;118.0;236.0
STERILE SERINGUE 20 ML;2;DUTSCHER;050833;11.1;22.2
PH PAPER;2;DUTSCHER;442401;5.94;11.88
TIPS 300µL INTEGRA (BOX);2;INTEGRA;6433;26.4;52.8
MEDICAL MASKS;2;DUTSCHER;475400;5.0;10.0
TIPS 1250 µL ONE TOUCH ;2;DUTSCHER;010360;71.2;142.4
96-WELLS CULTURE PLATE CORNING BioCoat PLL COATED;2;CORNING;356516;497.0;994.0
CRYOTUBE 2 ML GREINER;2;DUTSCHER;122263;21.89;43.78
6-WELLS CULTURE PLATE GREINER;2;DUTSCHER;657160;249.3;498.6
STERILE SERINGUE 5 ml;2;DUTSCHER;050006B;8.26;16.52
MEDIUM ZIP BAG ;2;DUTSCHER;140310;35.19;70.38
LARGE SIZE OVERSHOES ;2;DUTSCHER;475451;112.32;224.64
SMALL ZIP BAG ;2;DUTSCHER;140308;23.85;47.7
100 ML STERILE RESERVOIR;2;DUTSCHER;087806;60.42;120.84
STERILE TUBE FOR CULTURE 50 ML;2;DUTSCHER;352070;78.53;157.06
96-WELLS CULTURE PLATE CORNING ;2;DUTSCHER;003599;346.98;693.96
25 ML STERILE RESERVOIR;2;DUTSCHER;097800;99.1;198.2
ADHESIVE TAPES CLEARLINE ;2;DUTSCHER;188007;134.1;268.2
STERILE SERINGUE 5 ML;2;DUTSCHER;050831;10.8;21.6
TIPS 10µL STERILE MULTIFIT ;2;DUTSCHER;037640A;31.19;62.38
PARAFILM;2;DUTSCHER;090998;78.0;156.0
96-WELLS CULTURE PLATE GREINER ;1;DUTSCHER;020035;116.0;116.0
